intervalo,seurat_clusters,mean,count
0_15,1,0.7900858295729238,39
0_15,3,0.8546056522209512,740
0_15,4,0.7091103217420414,660
0_15,5,0.5902390321040839,6
0_15,6,0.5543758967250112,94
0_15,7,0.4706055981696274,16
0_15,8,0.6018917583373855,6
0_15,9,0.6427738924753923,1
0_15,10,0.7238665103110009,1
15_30,0,0.651528300169624,1537
15_30,1,0.6986495465732998,1605
15_30,2,0.6104342331175213,306
15_30,3,0.5769284296775904,10
15_30,4,0.6256648760005671,3
15_30,5,0.5223093122399506,348
15_30,6,0.5124125748345801,136
15_30,7,0.22886634484817853,217
15_30,8,0.6099816167182542,177
15_30,9,0.5843247557739435,121
15_30,10,0.511548749425763,21
