gene,spearman_rho_original,rho_sin_Animal1,fdr_sin_Animal1,rho_sin_Animal2,fdr_sin_Animal2,rho_sin_Animal3,fdr_sin_Animal3,rango_variacion,cambio_maximo_absoluto,mantiene_signo,clasificacion
Hspa5,-0.3541664785769137,-0.4300318389127495,5.210224049409295e-117,-0.34284719713626033,1.283180769291528e-96,-0.29014656491852675,1.438021502411704e-55,0.13988527399422274,0.0758653603358358,True,Robusto
Ces3a,-0.3481330953781422,-0.46627230753199134,1.4266031202301933e-139,-0.3345077507909245,7.20017130799524e-92,-0.2388703069448333,5.455652814891945e-38,0.22740200058715804,0.11813921215384915,True,Robusto
Slco1b2,-0.3355093061383521,-0.4265222192722562,4.763675595486922e-115,-0.34514948892488684,8.168934112481155e-98,-0.22745224478527712,1.4771935662283254e-34,0.19906997448697908,0.108057061353075,True,Robusto
Neat1,-0.3352928960319736,-0.43819446972016396,8.807450900516615e-122,-0.29414935023928845,1.0710158949090168e-70,-0.27800713157053336,4.2530448478946636e-51,0.1601873381496306,0.10290157368819036,True,Robusto
Cp,-0.3292068586871161,-0.37640992818396357,3.1157520145594e-88,-0.32203948835682533,5.888899613649346e-85,-0.2924865506477883,2.291774042077051e-56,0.08392337753617529,0.047203069496847494,True,Robusto
Malat1,-0.3247349408575263,-0.39695202673079566,9.98859439400767e-99,-0.3091845565595919,3.2412846834822027e-78,-0.2726963060466223,3.3294872288324027e-49,0.12425572068417334,0.07221708587326936,True,Robusto
Pzp,-0.3147899634014462,-0.4013595258132843,5.650744176979166e-101,-0.3074367694370694,2.3061223025066532e-77,-0.23959428233922173,3.496552500587118e-38,0.1617652434740626,0.08656956241183811,True,Robusto
Mug1,-0.3031242699344256,-0.42298472825952776,4.557728402553452e-113,-0.2884864619951756,5.000682723090006e-68,-0.1941106982506163,1.9330384811480914e-25,0.22887403000891146,0.11986045832510217,True,Robusto
H2-K1,-0.3000633623058258,-0.3179324867422911,3.6819703559393566e-62,-0.30938347343918593,2.976351918358696e-78,-0.26900356317591495,6.338767215711742e-48,0.048928923566376126,0.03105979912991086,True,Robusto
Fgg,-0.297917739235125,-0.38947074145578764,7.823916464634206e-95,-0.26331310957115023,1.3415221606412983e-56,-0.26257449854826376,1.0712347156436304e-45,0.12689624290752388,0.09155300222066265,True,Robusto
Gnmt,0.4101873905766812,0.3971546901646975,8.896125899656339e-99,0.40258281622439523,1.1264621286577928e-135,0.4338611907553404,1.526009070980391e-129,0.0367065005906429,0.02367380017865922,True,Robusto
Rps2,0.3073169086040838,0.3703459858388703,2.726991773725874e-85,0.2517676910008992,9.321627236108085e-52,0.29838876133638537,1.4805040802237907e-58,0.11857829483797111,0.06302907723478651,True,Robusto
Wfdc21,0.3041488546583061,0.35840719221875483,1.1287611558935837e-79,0.2892905534132088,2.2536024531222847e-68,0.28417255608391034,2.380638297456124e-53,0.07423463613484449,0.05425833756044873,True,Robusto
Gstp2,0.2464974861368441,0.35862251504465753,9.702610194597039e-80,0.20791817482348687,1.5722593278591723e-35,0.19343313897367642,2.68976700385303e-25,0.1651893760709811,0.11212502890781342,True,Robusto
Gstp1,0.2256062815493981,0.2753774159315648,1.7342422073132312e-46,0.26696997771502967,3.6866867459612605e-58,0.1211317260204574,9.187455479011263e-11,0.15424568991110738,0.10447455552894071,True,Robusto
Fabp2,0.2225764054693259,0.2814192051275309,1.566627369290733e-48,0.20900785444554257,7.221153882573735e-36,0.18649995793536492,1.2102411231659224e-23,0.09491924719216596,0.05884279965820499,True,Robusto
Car3,0.2149157477814138,0.17642802836668087,1.1948925836086173e-19,0.25041897619168674,3.1103744107501085e-51,0.24131688759346728,1.0862407507166755e-38,0.07399094782500587,0.038487719414732946,True,Robusto
Acaa1b,0.2142809560736945,0.19445367496266955,1.389076751986557e-23,0.20569315915195666,8.111249898082093e-35,0.2503010489750723,1.450628728431387e-41,0.05584737401240278,0.03602009290137784,True,Robusto
Serpina12,0.1961718141812378,0.22608606038199583,1.6904713074477296e-31,0.16673190365075713,2.597123161652576e-23,0.19223657904070598,5.049224045646915e-25,0.0593541567312387,0.029914246200758027,True,Robusto
Cth,0.1914269119740316,0.1537518143065621,2.9360551316142973e-15,0.1999439454458127,5.6430798278035076e-33,0.23084886239193098,1.511770162598315e-35,0.07709704808536888,0.039421950417899365,True,Robusto
